,SectionID,raisedhands,VisitedResources,Discussion,StudentAbsenceDays,Class,Student number,AssnDays
0,7,15,16,20,0,3,1,1
1,7,20,20,25,0,3,2,1
2,7,10,7,30,1,2,3,1
3,7,30,25,35,1,2,4,4
4,7,40,50,50,1,3,5,4
5,7,42,30,70,1,3,6,2
6,7,35,12,17,1,2,7,1
7,7,50,10,22,0,3,8,4
8,7,12,21,50,0,3,9,4
9,8,70,80,70,0,3,10,1
10,7,50,88,80,0,4,11,1
11,8,19,6,12,0,3,12,1
12,7,5,1,11,1,2,13,2
13,7,20,14,19,1,2,14,4
14,7,62,70,60,1,4,15,4
15,7,30,40,66,0,3,16,4
16,8,36,30,80,1,3,17,4
17,7,55,13,90,1,3,18,4
18,7,69,15,96,0,3,19,1
19,8,70,50,99,0,4,20,3
20,7,60,60,90,1,3,21,3
21,8,10,12,80,0,3,22,1
22,7,15,21,90,0,3,23,2
23,7,2,0,50,1,2,24,4
24,8,0,2,70,1,2,25,2
25,7,8,7,40,1,2,26,2
26,8,19,19,40,0,3,27,4
27,7,25,15,33,1,2,28,3
28,7,75,85,43,0,3,29,4
29,7,30,90,35,0,3,30,4
30,7,35,80,70,0,4,31,4
31,7,4,5,16,1,2,32,1
32,7,2,19,50,1,2,33,1
33,7,8,22,40,1,2,34,1
34,8,12,11,40,1,2,35,3
35,7,10,12,30,1,2,36,4
36,8,8,6,22,1,2,37,2
37,7,45,54,90,0,3,38,3
38,7,0,0,4,1,2,39,3
39,8,50,90,70,0,3,40,1
40,7,14,13,70,1,2,41,3
41,7,19,20,50,0,3,42,1
42,7,10,12,33,1,2,43,4
43,7,30,35,90,0,3,44,2
44,7,33,33,90,0,3,45,2
45,7,20,12,70,1,2,46,3
46,7,7,10,30,1,2,47,3
47,7,70,4,90,0,4,48,2
48,7,13,80,88,0,4,49,3
49,7,29,39,77,0,3,50,3
50,7,20,14,70,1,2,51,2
51,7,39,15,50,1,2,52,4
52,7,55,90,40,0,3,53,1
53,7,49,70,75,0,4,54,3
54,7,12,50,30,1,2,55,4
55,7,16,14,20,1,2,56,2
56,8,19,5,1,1,2,57,4
57,7,5,2,5,1,2,58,3
58,7,28,60,50,0,3,59,1
59,7,27,22,40,0,3,60,3
60,7,21,10,20,1,2,61,3
61,7,50,70,40,0,3,62,1
62,7,80,90,80,0,4,63,1
63,7,17,13,12,0,3,64,3
64,7,0,5,2,1,2,65,1
65,7,13,5,19,1,2,66,4
66,7,25,10,30,1,3,67,4
67,7,65,75,80,0,4,68,1
68,7,70,69,30,0,4,69,4
69,7,39,40,33,0,3,70,3
70,7,22,30,12,1,2,71,1
71,7,29,22,20,0,3,72,1
72,7,11,2,8,0,2,73,3
73,7,19,30,19,1,3,74,3
74,8,12,0,13,0,2,75,1
75,7,50,90,60,0,3,76,4
76,7,15,70,44,0,3,77,3
77,7,20,80,33,0,3,78,2
78,7,13,3,9,1,2,79,2
79,8,80,90,55,0,4,80,2
80,7,8,15,40,0,2,81,2
81,7,8,25,70,1,2,82,1
82,8,7,5,80,1,2,83,1
83,8,7,4,50,1,3,84,1
84,8,50,70,10,1,4,85,3
85,8,1,0,12,1,2,86,1
86,8,70,12,50,0,4,87,1
87,8,19,70,50,0,2,88,2
88,8,3,12,33,0,2,89,4
89,8,5,20,50,1,2,90,3
90,8,4,8,60,1,2,91,4
91,8,80,90,19,0,4,92,1
92,8,50,70,15,0,4,93,3
93,8,55,89,40,0,4,94,3
94,8,80,44,10,1,2,95,1
95,8,100,80,70,0,4,96,2
96,9,14,60,75,0,4,97,2
97,8,6,2,12,0,3,98,2
98,9,10,3,30,0,3,99,2
99,8,50,7,50,1,3,100,4
100,8,50,90,90,0,3,101,4
101,8,70,92,7,0,4,102,1
102,8,2,6,8,1,2,103,1
103,8,1,7,10,1,2,104,3
104,8,0,12,3,1,3,105,2
105,8,0,0,80,1,2,106,2
106,8,12,26,40,0,3,107,4
107,8,70,90,33,0,4,108,2
108,8,7,12,3,1,3,109,3
109,8,90,70,14,0,3,110,4
110,8,70,88,40,0,4,111,2
111,9,77,80,80,0,3,112,2
112,8,2,5,50,1,2,113,4
113,8,25,27,69,1,2,114,4
114,8,11,2,50,1,2,115,3
115,8,0,8,70,1,2,116,1
116,9,77,80,19,1,3,117,2
117,9,25,29,17,0,4,118,2
118,9,24,35,22,1,3,119,2
119,9,60,60,60,0,3,120,4
120,9,21,12,50,0,3,121,2
121,9,0,4,30,1,2,122,4
122,8,66,90,12,1,3,123,4
123,8,70,98,5,0,3,124,1
124,9,0,6,15,0,2,125,2
125,8,12,30,17,1,2,126,4
126,9,2,9,55,0,3,127,3
127,8,55,33,9,1,2,128,2
128,9,12,10,16,0,2,129,3
129,8,70,90,2,0,2,130,4
130,9,7,9,30,1,2,131,4
131,9,80,42,50,0,3,132,3
132,9,0,3,3,1,2,133,1
133,7,12,60,70,1,2,134,2
134,7,80,80,70,0,4,135,1
135,7,70,80,70,0,4,136,3
136,7,70,80,70,0,4,137,1
137,7,60,80,40,0,3,138,2
138,7,100,80,90,0,4,139,4
139,7,100,85,70,0,3,140,1
140,7,10,60,20,1,2,141,4
141,7,19,65,10,1,2,142,3
142,7,10,75,11,0,3,143,2
143,7,80,90,19,0,4,144,3
144,7,10,10,19,1,2,145,2
145,7,70,75,11,0,3,146,4
146,7,100,75,70,0,4,147,4
147,7,10,79,30,0,3,148,1
148,7,60,55,40,0,3,149,2
149,7,100,75,70,0,4,150,3
150,7,80,80,59,0,4,151,1
151,7,23,63,89,0,3,152,4
152,8,100,91,40,0,4,153,2
153,8,10,51,40,1,2,154,1
154,8,70,50,41,1,3,155,3
155,8,70,58,91,0,4,156,1
156,8,70,50,49,0,3,157,4
157,8,70,50,40,0,3,158,3
158,8,22,51,10,1,2,159,4
159,8,62,68,80,0,3,160,2
